sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
086933D,32232,22350,18904,3275,7604,2125,324
086934D,32317,22293,19016,3232,7596,2162,311
086935D,32481,22595,19047,3317,7605,2182,330
086936D,32273,22406,18985,3328,7513,2120,327
086937D,32489,22720,19065,3309,7641,2157,317
086938D,32535,22786,19044,3306,7710,2166,309
086940D,32295,22321,19024,3269,7564,2115,323
086941D,31991,22109,18862,3223,7479,2108,319
086942D,32052,22161,18769,3241,7546,2180,316
086943D,31962,22258,18854,3215,7473,2119,301
086944D,31841,22083,18720,3225,7439,2130,327
086945D,32180,22255,18929,3258,7476,2174,343
086946D,32067,22222,18839,3287,7500,2138,303
086947D,32762,22996,19310,3325,7583,2216,328
086948D,32390,22303,19084,3275,7557,2149,325
086949D,32240,22331,18948,3324,7543,2097,328
086950D,32360,22507,18993,3265,7644,2126,332
086951D,32014,22364,18795,3257,7526,2108,328
086952D,32055,22180,18811,3288,7542,2079,335
086953D,32303,22381,19007,3320,7518,2128,330
086954D,32216,22333,18939,3264,7558,2139,316
086955D,32534,22692,19080,3305,7649,2180,320
086959D,31937,22329,18678,3274,7521,2149,315
086961D,32345,22525,18900,3296,7652,2184,313
086962D,32467,22788,19016,3289,7674,2163,325
086963D,32668,23052,19191,3295,7680,2184,318
086964D,32495,22765,19063,3327,7576,2172,357
086965D,32590,22824,19105,3348,7627,2174,336
086966D,32288,22335,19001,3278,7578,2105,326
086967D,32609,22855,19152,3351,7622,2146,338
086970D,32468,22340,19070,3275,7587,2190,346
086971D,32895,22973,19439,3431,7557,2154,314
086972D,32525,22763,19118,3328,7607,2159,313
086973D,32603,22911,19164,3333,7621,2153,332
086974D,32652,22878,19152,3366,7629,2187,318
086975D,32689,22703,19108,3389,7669,2192,331
086976D,32439,22587,19152,3287,7506,2161,333
086977D,32611,22753,19144,3359,7614,2171,323
086978D,32591,22753,19088,3323,7626,2214,340
086979D,32637,22885,19103,3375,7671,2149,339
086980D,32646,22608,19091,3306,7720,2189,340
086981D,32405,22470,18978,3329,7586,2178,334
086982D,32537,22758,19109,3331,7615,2153,329
086983D,32647,22912,19137,3385,7646,2153,326
086984D,32461,22529,19114,3323,7542,2171,311
086985D,32353,22388,18910,3311,7646,2153,333
086986D,32208,22311,18974,3214,7476,2194,350
086987D,32607,22596,19087,3299,7688,2197,336
086988D,32331,22428,19030,3334,7537,2109,321
086989D,32386,22448,19021,3284,7580,2179,322
086992D,32582,22801,19160,3324,7624,2166,308
086993D,32394,22528,19088,3280,7543,2157,326
086994D,32510,22632,19052,3292,7633,2199,334
086996D,32413,22676,19097,3343,7488,2173,312
086997D,32601,22778,19171,3318,7636,2149,327
086998D,32341,22475,19042,3277,7566,2123,333
086999D,32254,22559,19022,3241,7548,2119,324
087000D,32428,22685,18982,3313,7610,2177,346
087001D,32203,22346,18918,3280,7574,2094,337
087002D,32725,22828,19162,3367,7656,2214,326
087003D,32009,22324,18793,3297,7492,2110,317
087004D,32610,22837,19094,3384,7641,2182,309
087005D,32489,22701,19132,3291,7608,2133,325
087006D,32601,22961,19093,3355,7657,2164,332
087007D,32629,22730,19273,3322,7566,2126,342
087008D,32372,22454,19079,3300,7523,2135,335
087009D,32510,22635,19061,3323,7629,2179,318
087010D,32200,22404,18898,3262,7516,2187,337
087011D,32130,22327,18851,3265,7551,2134,329
087012D,32131,22354,18813,3222,7626,2156,314
087013D,32410,22565,19019,3359,7522,2173,337
087014D,32301,22508,18964,3327,7525,2175,310
087015D,32383,22515,19030,3259,7590,2167,337
087016D,32415,22425,19021,3298,7603,2177,316
087017D,32373,22606,18995,3316,7600,2130,332
087018D,32695,22847,19248,3354,7584,2189,320
087019D,32475,22688,19168,3265,7556,2156,330
087020D,32510,22685,19055,3356,7640,2128,331
087021D,32381,22466,19006,3338,7597,2128,312
087022D,32539,22672,19112,3349,7548,2200,330
087023D,32543,22782,19082,3356,7588,2191,326
087024D,32461,22499,19056,3360,7533,2178,334
087025D,32386,22403,19021,3310,7562,2171,322
087026D,32505,22687,19117,3277,7594,2190,327
087027D,32583,22554,19173,3301,7624,2168,317
087028D,32638,22781,19170,3347,7618,2182,321
087029D,32606,22843,19129,3301,7691,2169,316
087030D,32646,22748,19228,3302,7604,2182,330
087031D,32650,23004,19156,3292,7674,2195,333
087032D,32571,22742,19128,3407,7590,2129,317
087033D,32678,22934,19138,3320,7688,2197,335
087034D,32417,22777,19122,3239,7593,2146,317
087035D,32558,22795,19137,3347,7603,2159,312
087036D,32574,22926,19161,3271,7675,2160,307
087037D,32513,22889,19150,3307,7581,2143,332
087038D,32565,22819,19180,3295,7599,2179,312
087039D,32486,22841,19001,3369,7622,2175,319
087040D,32699,22982,19137,3325,7742,2181,314
087041D,32451,22727,19091,3293,7578,2176,313
087043D,32525,22725,19110,3300,7612,2159,344
087044D,32436,22609,19045,3246,7643,2161,341
087045D,32590,22999,19157,3279,7680,2174,300
087046D,32631,22992,19074,3315,7693,2220,329
087047D,32599,22724,19113,3383,7599,2186,318
087048D,32616,22646,19136,3350,7616,2195,319
087049D,32174,22223,18948,3226,7536,2148,316
087050D,32058,21626,18897,3251,7479,2119,312
087051D,32208,22413,18939,3314,7528,2112,315
087052D,32347,22788,19010,3276,7565,2181,315
087053D,32210,22376,18941,3231,7548,2165,325
087054D,32432,22550,19037,3326,7586,2151,332
WGC086590D,31661,22027,18535,3241,7471,2103,311
WGC086592D,31048,21426,18110,3185,7413,2033,307
WGC086593D,31667,22008,18467,3226,7489,2147,338
WGC086597D,31145,21645,17920,3268,7521,2125,311
WGC086602D,29053,20442,16371,3070,7269,2038,305
WGC086603D,31954,22142,18694,3239,7573,2113,335
WGC086607D,31544,21853,18283,3265,7542,2136,318
WGC086608D,30194,21169,17440,3184,7246,2044,280
WGC086609D,31902,22165,18597,3275,7515,2186,329
WGC086610D,30538,21203,17625,3189,7390,2030,304
WGC086611D,30898,21472,17850,3197,7440,2104,307
WGC086612D,31305,20420,18400,3187,7343,2060,315
WGC086613D,31739,22028,18525,3257,7534,2116,307
WGC086614D,29830,20875,17025,3113,7289,2098,305
WGC086615D,32441,22652,18984,3359,7593,2177,328
WGC086616D,28595,19985,16176,3052,7011,2061,295
