sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
A3308_L1_310310,32449,22548,19020,3335,7643,2119,332
A3660_L3L4_313313,32595,22890,19176,3319,7643,2126,331
A3668_L3_315315,32623,22816,19115,3370,7648,2167,323
A3669_L4_327327,32606,22825,19107,3415,7541,2206,337
A3675_L1L4_331331,32435,22646,19073,3334,7575,2128,325
A3684_L2L4_348348,32573,22769,19111,3351,7558,2227,326
A3685_L3_354354,32393,22568,19113,3287,7540,2128,325
A3686_L3L4_355355,30481,21369,17532,3160,7370,2127,292
A3687_L3L4_362362,31863,22425,18581,3249,7563,2175,295
A3692_L1L3_385385,32147,22467,18792,3301,7540,2194,320
B1001,31677,22368,18556,3296,7423,2079,323
B1002,30739,21734,17689,3169,7467,2120,294
B1003,30413,21361,17468,3189,7349,2095,312
B1004,30510,21509,17553,3156,7416,2074,311
B1006,30458,21401,17380,3215,7517,2047,299
B1007,31152,22146,17967,3265,7519,2106,295
B1008,30736,21663,17707,3240,7427,2064,298
B100_L1_323323,32666,23113,19193,3355,7647,2163,308
B1010,30476,21589,17520,3275,7361,2030,290
B102_L1_325325,32127,22523,18792,3299,7593,2125,318
B103_L1L2_326326,32566,22758,19078,3372,7624,2175,317
B104_L1L4_328328,32437,22878,19058,3348,7587,2109,335
B105_L1L2_329329,32436,22840,19042,3360,7540,2158,336
B106_L2_330330,32181,22580,18842,3365,7523,2135,316
B108_L2_333333,32448,22847,19125,3377,7487,2145,314
B109_L4_334334,32561,22817,18997,3370,7707,2173,314
B111_L2L4_388388,32258,22638,18833,3353,7594,2152,326
B112_L1L2_335335,32426,22766,19034,3338,7596,2143,315
B114_L1L2_336336,32407,22945,18967,3337,7647,2129,327
B115_L1L2_337337,32395,22677,18973,3291,7639,2156,336
B116_L2L3_338338,32385,22758,18991,3303,7621,2140,330
B118_L1L3_339339,32418,22512,18979,3356,7585,2179,319
B119_L2L3_340340,32406,22892,18931,3350,7665,2147,313
B11_L1_342342,32265,22609,18959,3281,7571,2124,330
B120_L1L3_341341,32257,22773,18911,3370,7508,2150,318
B122_L1L3_342342,32264,22712,18893,3320,7552,2178,321
B123_L1L3_343343,31687,22131,18453,3262,7524,2142,306
B124_L2L4_348348,32082,22545,18679,3292,7664,2133,314
B125_L1L3_344344,31901,22418,18697,3244,7535,2115,310
B127_L2L3_345345,32055,22381,18764,3306,7548,2127,310
B128_L1_346346,32741,23109,19217,3342,7659,2213,310
B129_L1L4_347347,32281,22707,18919,3380,7572,2090,320
B12_L1_343343,32062,22474,18765,3323,7510,2133,331
B130_L4_349349,31934,22607,18666,3326,7547,2084,311
B131_L1_382382,32366,22730,18836,3312,7689,2203,326
B132_L1_362362,32554,22752,19104,3375,7551,2191,333
B133_L1L2_385385,30923,21792,17894,3221,7378,2117,313
B134_L4_350350,31593,22330,18432,3234,7470,2135,322
B135_L2L4_351351,32187,22609,18794,3400,7476,2178,339
B13_L4_344344,31496,21993,18121,3285,7626,2145,319
B156_L3_352352,32661,22899,19195,3365,7574,2192,335
B15_L4_345345,31281,22160,17971,3274,7543,2182,311
B171_L1_355355,30782,21759,17703,3212,7421,2136,310
B172_L4_353353,30773,21788,17779,3218,7373,2085,318
B175_L1L2_390390,31737,22349,18450,3299,7535,2116,337
B17_L1_346346,32251,22630,18837,3308,7606,2192,308
B182_L3_356356,32495,23071,19052,3323,7639,2151,330
B183_L1L3_357357,32462,22896,19136,3319,7552,2138,317
B184_L1L2_358358,32147,22404,18859,3324,7580,2075,309
B185_L3_359359,32668,22926,19146,3339,7663,2215,305
B187_L3_360360,32599,22967,19155,3373,7577,2170,324
B188_L1L4_361361,32057,22422,18917,3306,7443,2066,325
B189_L4_363363,32429,22756,19068,3340,7539,2158,324
B18_L1_347347,31750,22325,18405,3294,7565,2157,329
B190_L2L4_364364,32484,22826,19034,3353,7635,2137,325
B191_L4_365365,32599,22844,19222,3323,7619,2119,316
B192_L4_366366,32463,22803,19012,3340,7618,2164,329
B193_L4_368368,32684,23030,19194,3364,7638,2156,332
B194_L3_369369,32425,22782,19015,3343,7603,2129,335
B195_L1L4_370370,32597,22716,19191,3371,7560,2156,319
B196_L1_371371,32032,22368,18835,3239,7534,2112,312
B197_L1L4_372372,32245,22616,18989,3286,7541,2118,311
B198_L2_373373,32056,22472,18784,3312,7493,2142,325
B199_L1_374374,32528,22679,19089,3317,7638,2175,309
B19_L4_349349,32266,22637,18952,3215,7621,2164,314
B1_L2_334334,32349,22744,18954,3317,7568,2181,329
B200_L1_375375,32439,22496,19108,3288,7580,2133,330
B201_L3_376376,32565,22889,19144,3310,7622,2156,333
B202_L1_377377,32609,22896,19182,3345,7587,2157,338
B203_L1L2_378378,32664,23011,19182,3373,7638,2148,323
B204_L1_379379,32337,22557,19101,3254,7519,2136,327
B205_L3L4_380380,32262,22794,18887,3330,7634,2098,313
B206_L1L4_381381,32304,22568,19008,3251,7621,2091,333
B207_L3L4_383383,32257,22548,18987,3256,7527,2175,312
B208_L1_384384,32582,23059,19064,3380,7652,2171,315
B209_L4_386386,32561,22796,19142,3416,7590,2098,315
B20_L1L2_350350,31769,22245,18466,3311,7565,2105,322
B210_L1L2_387387,32454,22778,19027,3378,7590,2137,322
B211_L1L2_389389,32134,22449,18888,3254,7500,2175,317
B212_L4_391391,32598,23096,19168,3345,7588,2162,335
B213_L1L4_392392,32284,22617,18943,3315,7542,2150,334
B214_L2L3_393393,32420,22806,19072,3359,7541,2132,316
B215_L4_394394,32273,22542,18925,3371,7569,2077,331
B216_L4_395395,32617,22959,19117,3364,7664,2150,322
B217_L2_302302,32377,22821,19056,3327,7542,2142,310
B218_L2L4_303303,32627,22797,19049,3405,7654,2179,340
B219_L4_309309,32183,22582,18938,3292,7553,2087,313
B21_L1L2_351351,31812,22504,18420,3308,7639,2143,302
B220_L3_310310,32508,22759,19165,3369,7521,2127,326
B221_L2_313313,32522,22923,19000,3426,7623,2142,331
B222_L2_315315,32339,22649,18962,3302,7603,2158,314
B223_L2_327327,32473,22946,19176,3341,7536,2102,318
B224_L2_301301,32708,23076,19201,3371,7649,2146,341
B225_L2_304304,32681,22977,19223,3365,7609,2154,330
B226_L2_305305,32595,22728,19206,3303,7541,2201,344
B227_L2_306306,32669,22979,19136,3355,7675,2173,330
B228_L2_307307,32792,23102,19291,3320,7710,2149,322
B229_L2_308308,32506,22793,19213,3301,7498,2160,334
B22_L2_352352,32300,22528,18894,3343,7599,2143,321
B230_L2L4_311311,32646,22748,19175,3372,7634,2133,332
B231_L2_312312,32507,22750,19027,3363,7661,2150,306
B232_L3_314314,32656,22759,19149,3405,7589,2183,330
B233_L3_316316,32338,22737,18962,3379,7541,2154,302
B234_L2L3_317317,32694,22982,19006,3411,7805,2142,330
B235_L3_318318,32670,22800,19152,3385,7641,2170,322
B236_L3_319319,32546,22853,19045,3372,7640,2165,324
B237_L3_320320,32513,22678,19173,3306,7586,2131,317
B238_L3_321321,32503,22697,19107,3348,7599,2150,299
B239_L3_322322,32383,22701,19003,3333,7608,2115,324
B23_L1_353353,32146,22579,18840,3354,7536,2089,327
B240_L4_323323,32607,22808,19092,3380,7591,2206,338
B241_L4_324324,32465,22741,19135,3298,7574,2139,319
B242_L4_325325,32348,22758,19061,3335,7547,2070,335
B243_L2L4_326326,32188,22388,18956,3301,7509,2096,326
B244_L4_390390,32536,22874,19109,3311,7609,2187,320
B245_L2L4_328328,32366,22882,19053,3291,7562,2135,325
B246_L4_329329,32568,22818,19112,3372,7602,2152,330
B247_L4_388388,32346,22513,18920,3368,7613,2118,327
B248_L1_330330,32500,22806,19087,3354,7564,2169,326
B249_L1L4_332332,32311,22613,18966,3328,7548,2152,317
B24_L4_356356,32451,22978,18900,3337,7718,2168,328
B250_L1_333333,32726,23006,19196,3366,7646,2190,328
B251_L1_334334,32711,23020,19216,3351,7663,2149,332
B252_L1_335335,32759,23046,19350,3370,7568,2141,330
B253_L1_336336,32659,22928,19173,3392,7602,2156,336
B254_L1_337337,32567,22830,19127,3370,7610,2150,310
B255_L1_338338,32657,22643,19222,3408,7591,2092,344
B256_L2_339339,32514,22752,19169,3365,7572,2093,315
B257_L2_340340,32664,22945,19164,3337,7690,2151,322
B258_L2_341341,32499,22564,19096,3347,7580,2150,326
B259_L2_342342,32551,22668,19148,3376,7576,2126,325
B25_L1_357357,32478,23010,19050,3313,7639,2174,302
B260_L2_343343,32460,22781,19116,3380,7505,2137,322
B261_L2_344344,32360,22573,19068,3271,7581,2108,332
B262_L2_345345,32537,22862,19165,3298,7628,2126,320
B263_L2_346346,32569,22612,19100,3310,7646,2184,329
B264_L3_347347,32686,22888,19241,3330,7650,2149,316
B265_L3_349349,32760,23060,19327,3271,7677,2163,322
B266_L1L3_350350,32460,22635,19080,3303,7626,2139,312
B267_L1L3_351351,32425,22612,19081,3320,7550,2160,314
B268_L1L2_352352,32664,23003,19176,3381,7632,2150,325
B269_L3_353353,32548,22819,19225,3292,7571,2141,319
B26_L2_358358,31521,22107,18190,3344,7543,2124,320
B270_L3_356356,32670,22948,19218,3305,7667,2161,319
B271_L3_357357,32673,23098,19256,3347,7601,2165,304
B272_L2L3_358358,32386,22636,18976,3355,7616,2130,309
B273_L4_359359,32072,22450,18863,3265,7526,2107,311
B274_L1L4_360360,32440,22615,19103,3327,7544,2137,329
B275_L4_361361,32454,22705,19063,3357,7559,2167,308
B276_L4_363363,32504,22772,19176,3365,7534,2124,305
B277_L4_364364,32608,22766,19181,3349,7581,2173,324
B278_L4_365365,32585,22769,19130,3331,7630,2168,326
B279_L4_366366,32441,22780,19130,3258,7555,2180,318
B27_L2_359359,31790,22184,18568,3295,7507,2096,324
B280_L4_368368,32712,22950,19260,3324,7604,2187,337
B281_L1_369369,32305,22495,19016,3330,7540,2087,332
B282_L1_370370,32585,22867,19132,3352,7639,2160,302
B284_L1_371371,32567,22858,19169,3376,7576,2130,316
B286_L1L2_372372,32405,22713,19090,3309,7606,2094,306
B287_L1_373373,32487,22839,19069,3335,7658,2108,317
B288_L1_374374,32378,22567,19136,3251,7594,2100,297
B28_L2_360360,32080,22563,18759,3299,7576,2126,320
B291_L1_376376,32577,22729,19178,3364,7600,2134,301
B292_L2_377377,32435,22692,19106,3328,7499,2189,313
B293_L1L2_378378,32112,22490,18900,3243,7532,2103,334
B294_L1_379379,32563,22919,19111,3331,7631,2166,324
B295_L2_380380,32379,22577,18993,3268,7627,2178,313
B296_L2_381381,32555,23025,19164,3380,7557,2150,304
B297_L2_383383,32332,22644,19037,3357,7574,2042,322
B298_L2_384384,32451,22734,19062,3302,7609,2159,319
B299_L2_386386,32695,23021,19206,3383,7631,2156,319
B29_L2_361361,30771,21375,17578,3307,7447,2120,319
B2_L2_335335,32321,22545,18987,3338,7560,2100,336
B300_L1_387387,32417,22882,19085,3272,7603,2145,312
B301_L2_389389,32305,22490,19018,3280,7578,2119,310
B302_L1L3_391391,32685,23017,19237,3341,7654,2140,313
B303_L3_392392,32564,22749,19125,3364,7632,2118,325
B304_L3_393393,32623,23097,19145,3323,7658,2160,337
B305_L2L3_394394,32482,22679,19049,3348,7645,2105,335
B306_L3_395395,32584,22780,19070,3340,7713,2131,330
B307_L3_302302,32491,22783,19116,3316,7612,2130,317
B30_L4_363363,31982,22416,18720,3277,7561,2099,325
B311_L3_303303,32391,22511,19068,3299,7560,2139,325
B312_L3_309309,32540,22829,19100,3400,7596,2129,315
B313_L1L4_310310,32401,22668,19020,3269,7595,2174,343
B314_L4_313313,32535,22654,19176,3365,7516,2146,332
B315_L4_315315,32639,23019,19194,3389,7563,2164,329
B316_L4_327327,32453,22824,19090,3342,7575,2125,321
B317_L4_331331,32457,22155,19068,3351,7566,2158,314
B318_L3L4_348348,32390,22698,18982,3330,7617,2147,314
B319_L4_354354,32697,23107,19244,3317,7667,2144,325
B31_L2L3_364364,31959,22444,18667,3315,7540,2131,306
B320_L4_355355,32510,22902,19056,3323,7667,2148,316
B321_L1L2_362362,32468,22638,19085,3311,7588,2154,330
B322_L1L2_382382,32416,22846,19047,3340,7594,2139,296
B323_L1L2_385385,32578,22736,19124,3367,7638,2131,318
B324_L1L2_301301,31656,21839,18535,3231,7534,2059,297
B325_L2_304304,32042,22518,18717,3309,7585,2126,305
B326_L2_305305,32307,22640,19067,3257,7533,2170,280
B327_L1_396396,31866,22147,18683,3285,7508,2087,303
B328_L2_307307,32258,22478,18903,3265,7648,2138,304
B329_L2_308308,32157,22306,18930,3243,7561,2122,301
B32_L2_365365,32668,23087,19219,3310,7616,2196,327
B330_L2_311311,32035,22228,18714,3274,7626,2116,305
B332_L2_312312,31813,22128,18682,3200,7506,2113,312
B333_L2_314314,32029,22291,18825,3206,7591,2096,311
B334_L1L2_316316,32291,22606,18962,3331,7567,2115,316
B337_L2L3_319319,32252,22737,18968,3258,7585,2138,303
B338_L2_320320,32466,22833,18987,3295,7727,2151,306
B339_L2_321321,32034,22430,18783,3279,7565,2086,321
B33_L4_366366,31777,22281,18448,3335,7559,2128,307
B340_L2_322322,31893,22329,18777,3174,7493,2136,313
B341_L2_323323,31926,22425,18785,3219,7516,2107,299
B342_L2_324324,32104,22658,18810,3275,7620,2097,302
B343_L2_325325,32216,22481,18818,3330,7622,2133,313
B344_L3_326326,31687,22212,18648,3211,7433,2111,284
B345_L3_328328,32116,22471,18831,3263,7568,2128,326
B346_L3_329329,32097,22498,18844,3269,7565,2111,308
B348_L3_330330,31866,22384,18696,3260,7522,2085,303
B349_L2L3_332332,32106,22556,18820,3269,7594,2124,299
B34_L4_368368,32241,22561,18830,3323,7590,2192,306
B351_L3_333333,31868,22203,18699,3269,7497,2098,305
B352_L2L3_334334,32063,22390,18854,3252,7540,2112,305
B353_L2L3_335335,32024,22479,18762,3287,7557,2119,299
B356_L3_336336,32283,22917,19061,3240,7542,2113,327
B357_L2L3_337337,31963,22338,18792,3274,7481,2089,327
B358_L2L3_338338,31973,22289,18835,3216,7536,2080,306
B359_L2L4_339339,31962,22518,18766,3229,7587,2083,297
B35_L2L3_369369,31175,21929,18001,3258,7516,2098,302
B360_L4_340340,32169,22508,18933,3271,7531,2125,309
B362_L4_341341,32187,22716,18971,3262,7546,2099,309
B364_L2L3_343343,31962,22326,18837,3257,7497,2091,280
B365_L2L4_344344,31904,22085,18670,3232,7560,2139,303
B366_L3L4_345345,32083,22550,18854,3240,7590,2094,305
B367_L4_346346,32347,22604,18975,3304,7616,2134,318
B368_L2L4_347347,31967,22321,18746,3249,7573,2109,290
B369_L4_349349,32461,22758,19102,3297,7594,2146,322
B36_L3_370370,32640,22907,19167,3329,7661,2148,335
B370_L1L3_382382,31637,22042,18568,3170,7454,2122,323
B371_L1_354354,32305,22399,19060,3234,7538,2165,308
B372_L1L2_350350,32174,22575,18905,3251,7602,2104,312
B373_L1L3_351351,32232,22523,18960,3297,7524,2136,315
B374_L1L3_352352,32203,22464,18923,3274,7584,2123,299
B375_L1L2_353353,31808,22197,18705,3181,7518,2106,298
B376_L1L2_356356,32044,22451,18844,3271,7546,2083,300
B377_L1L3_357357,32160,22625,18923,3291,7537,2099,310
B378_L2L3_390390,32212,22386,18922,3293,7552,2138,307
B379_L2L3_358358,32202,22572,18934,3329,7577,2077,285
B37_L1L2_125125,31274,21746,18267,3218,7437,2054,298
B380_L2_359359,31823,22401,18685,3178,7575,2094,291
B381_L2_355355,32167,22265,18945,3254,7534,2119,315
B382_L2L3_360360,32056,22466,18818,3269,7580,2091,298
B383_L2_361361,32157,22545,18851,3325,7517,2169,295
B384_L2_331331,32364,22700,19041,3279,7596,2131,317
B385_L2_363363,31899,22396,18677,3248,7543,2122,309
B386_L3_364364,31807,22271,18623,3252,7537,2100,295
B387_L3_365365,31861,22213,18689,3244,7560,2067,301
B388_L3_366366,32241,22585,18999,3266,7546,2136,294
B389_L3_368368,32280,22403,19000,3354,7522,2094,310
B38_L2L4_372372,32566,22851,19068,3351,7658,2161,328
B391_L1L3_313313,31940,22393,18799,3225,7483,2128,305
B393_L2L3_388388,31913,22266,18717,3236,7529,2141,290
B394_L1L3_369369,31625,21991,18575,3183,7450,2129,288
B395_L2L3_370370,32055,22374,18838,3281,7536,2113,287
B396_L2L4_371371,31743,22197,18599,3223,7543,2076,302
B397_L3L4_372372,31873,22349,18717,3240,7501,2117,298
B398_L3L4_373373,31824,22147,18774,3197,7440,2094,319
B399_L4_374374,32040,22389,18825,3253,7576,2076,310
B39_L3_373373,32327,22611,19002,3328,7529,2137,331
B3_L4_336336,31964,22553,18650,3314,7575,2103,322
B400_L4_375375,32251,22773,18948,3286,7610,2110,297
B401_L4_376376,32141,22505,18866,3266,7553,2133,323
B402_L4_377377,32292,22627,18993,3261,7590,2139,309
B403_L2L4_378378,31891,22393,18809,3230,7471,2074,307
B404_L1_315315,32580,22728,19123,3348,7614,2173,322
B405_L1L4_348348,32043,22439,18727,3254,7615,2145,302
B406_L1L2_379379,32042,22692,18853,3213,7581,2101,294
B407_L1_380380,32136,22540,18893,3314,7560,2078,291
B408_L1_381381,32367,22634,18983,3319,7614,2159,292
B409_L1L2_383383,31968,22333,18817,3163,7550,2131,307
B40_L4_374374,32246,22589,18922,3342,7543,2121,318
B411_L1L2_384384,32002,22350,18761,3230,7564,2147,300
B412_L1_386386,32117,22634,18864,3242,7599,2108,304
B414_L2_389389,32522,22877,19174,3232,7646,2164,306
B415_L2_391391,32372,22457,19072,3264,7579,2155,302
B419_L2_393393,32266,22783,19024,3259,7548,2122,313
B421_L2L3_385385,31873,22072,18787,3164,7519,2105,298
B422_L2_394394,32166,22516,18856,3261,7618,2121,310
B423_L2_362362,31880,22048,18733,3264,7508,2078,297
B424_L3_395395,32323,22662,19061,3261,7562,2121,318
B425_L3_302302,32168,22367,18855,3318,7601,2100,294
B426_L2L3_303303,31806,22236,18634,3263,7483,2125,301
B427_L2L3_327327,32017,22264,18801,3262,7565,2085,304
B428_L3_309309,32035,22284,18803,3270,7559,2109,294
B429_L3_310310,32320,22695,19011,3265,7553,2176,315
B42_L4_375375,32197,22625,18764,3355,7604,2163,311
B430_L2_301301,32384,22600,18985,3380,7604,2105,310
B431_L1L2_304304,31989,22423,18795,3276,7512,2103,303
B433_L2L3_396396,32192,22408,18906,3315,7538,2122,311
B434_L3_390390,32129,22320,18817,3312,7600,2102,298
B435_L2_307307,32242,22436,18992,3316,7506,2102,326
B436_L4_385385,32150,22368,18925,3236,7544,2137,308
B437_L2_308308,32363,22671,19092,3260,7556,2143,312
B438_L2_311311,32019,22411,18826,3257,7471,2155,310
B439_L2L4_312312,32177,22354,18862,3280,7578,2149,308
B43_L3_376376,32816,23226,19229,3408,7656,2197,326
B440_L2L3_314314,32378,22741,18975,3296,7653,2151,303
B441_L1L2_316316,32037,22413,18903,3229,7543,2064,298
B442_L3_317317,32216,22487,18956,3277,7568,2094,321
B443_L3_318318,32184,22520,18900,3282,7546,2137,319
B444_L2L3_319319,32003,22294,18835,3243,7527,2096,302
B445_L2L3_320320,32206,22586,18888,3297,7532,2158,331
B446_L3_321321,32314,22481,19059,3210,7591,2145,309
B447_L3_322322,31902,22337,18762,3247,7492,2091,310
B448_L3_323323,31913,22326,18667,3328,7509,2094,315
B449_L1_324324,32235,22492,19010,3292,7501,2120,312
B44_L3_377377,32343,22670,18993,3337,7562,2134,317
B450_L2L4_325325,31946,22379,18804,3233,7503,2097,309
B452_L4_326326,31888,22424,18700,3246,7509,2145,288
B453_L4_328328,31881,22151,18752,3214,7470,2119,326
B454_L3L4_329329,32056,22432,18753,3285,7531,2179,308
B455_L1_330330,32189,22489,18915,3247,7616,2115,296
B456_L4_332332,32413,22607,19065,3299,7579,2172,298
B457_L4_333333,32497,22802,19118,3273,7629,2166,311
B458_L4_334334,32010,22291,18780,3279,7545,2090,316
B459_L4_335335,31812,22232,18657,3214,7506,2137,298
B45_L2L3_378378,31912,22281,18689,3278,7532,2080,333
B460_L1_336336,32010,22352,18848,3240,7554,2074,294
B461_L1_337337,32174,22585,18984,3268,7489,2119,314
B462_L1L4_362362,32167,22607,18845,3277,7600,2158,287
B463_L1_338338,32370,22695,18981,3307,7639,2141,302
B464_L4_382382,32315,22393,19066,3299,7483,2135,332
B465_L1_339339,32008,22452,18862,3231,7508,2105,302
B466_L1_340340,32123,22564,18904,3312,7492,2110,305
B467_L1_341341,32075,22436,18838,3261,7549,2127,300
B468_L1_342342,32244,22553,19031,3227,7547,2138,301
B469_L1_343343,32455,22761,19159,3284,7546,2158,308
B46_L3_379379,32446,22726,19120,3323,7519,2164,320
B470_L3L4_344344,32019,22304,18736,3282,7596,2114,291
B471_L1_345345,31883,22030,18708,3231,7554,2093,297
B472_L2_346346,32199,22639,18923,3268,7567,2132,309
B473_L2_347347,31946,22373,18780,3214,7522,2125,305
B474_L1_349349,32249,22563,18980,3258,7615,2083,313
B475_L2_350350,32257,22372,19003,3235,7589,2132,298
B476_L2_351351,32091,22451,18989,3283,7481,2050,288
B477_L2_352352,32050,22236,18899,3226,7552,2078,295
B478_L2_353353,32232,22579,18911,3306,7559,2140,316
B479_L2_356356,32241,22462,19054,3234,7546,2119,288
B47_L2L4_380380,31742,22258,18487,3316,7496,2121,322
B480_L4_357357,32288,22560,19003,3287,7598,2097,303
B481_L1_358358,31711,22004,18671,3192,7444,2121,283
B482_L1_359359,32278,22514,19041,3283,7526,2121,307
B483_L4_360360,32069,22357,18893,3203,7577,2091,305
B484_L1_361361,32029,22311,18886,3227,7490,2117,309
B485_L4_363363,32134,22582,19018,3255,7477,2085,299
B486_L1_364364,31947,22254,18787,3251,7551,2056,302
B487_L1_365365,32406,22553,19079,3263,7585,2141,338
B488_L4_366366,32415,22587,19111,3255,7628,2114,307
B489_L2_368368,32221,22572,18961,3250,7570,2132,308
B48_L2L3_381381,32078,22314,18563,3356,7686,2147,326
B490_L2_369369,32068,22380,18831,3241,7554,2121,321
B491_L2L3_370370,32105,22437,18885,3256,7532,2125,307
B492_L2_371371,32164,22522,18825,3269,7584,2176,310
B493_L1L2_372372,32134,22528,18907,3308,7467,2141,311
B494_L1_373373,31902,22230,18663,3323,7548,2063,305
B495_L1_374374,32365,22744,19033,3323,7605,2095,309
B496_L2_375375,32364,22640,18990,3295,7642,2146,291
B497_L2_376376,32003,22274,18792,3274,7514,2112,311
B498_L2_377377,31878,22129,18753,3278,7421,2117,309
B499_L1L3_378378,32020,22365,18888,3280,7468,2088,296
B49_L3_383383,32072,22462,18797,3318,7489,2151,317
B4_L4_337337,31269,21895,18157,3237,7499,2075,301
B500_L1L3_379379,32195,22495,18925,3244,7560,2149,317
B501_L3_380380,32599,22818,19200,3309,7633,2134,323
B502_L3_381381,32221,22421,19022,3210,7520,2144,325
B503_L3_383383,32240,22487,18983,3292,7522,2111,332
B504_L1_384384,32096,22232,18881,3243,7602,2074,296
B505_L3_386386,32219,22439,18985,3250,7507,2161,316
B506_L3_387387,31858,21451,18766,3239,7484,2061,308
B507_L1_389389,32329,22712,19003,3298,7594,2125,309
B508_L3_391391,32211,22298,18928,3306,7562,2099,316
B509_L4_392392,32409,22815,19007,3294,7649,2161,298
B510_L4_393393,32579,22945,19150,3276,7631,2201,321
B511_L3L4_394394,32173,22352,18868,3288,7545,2164,308
B512_L4_395395,32472,22701,19113,3278,7626,2143,312
B513_L4_302302,32211,22626,18956,3284,7536,2122,313
B514_L1_303303,31817,21818,18596,3261,7545,2114,301
B515_L2L4_309309,31975,22222,18733,3228,7580,2125,309
B517_L4_310310,32584,22977,19140,3337,7635,2147,325
B518_L4_313313,32093,22457,18810,3287,7575,2104,317
B519_L1_315315,32147,22446,18935,3296,7509,2096,311
B51_L1L3_126126,30301,21231,17421,3090,7430,2057,303
B520_L1_327327,32344,22658,19030,3271,7587,2136,320
B521_L1L3_331331,32202,22739,18839,3332,7610,2117,304
B522_L1_348348,31980,22400,18752,3255,7535,2149,289
B524_L1_354354,32253,22761,18975,3278,7599,2109,292
B525_L1_388388,32271,22648,18953,3248,7656,2106,308
B526_L1L2_355355,31749,21883,18564,3239,7592,2062,292
B527_L2_301301,32239,22599,18876,3239,7650,2162,312
B528_L2_304304,32042,22407,18807,3329,7492,2105,309
B529_L2_305305,32051,22314,18858,3271,7510,2101,311
B52_L1_386386,32553,22877,19109,3397,7602,2117,328
B530_L1L2_315315,32330,22639,18958,3335,7586,2111,340
B531_L1L3_396396,32167,22457,18855,3358,7505,2133,316
B532_L2_307307,32372,22788,18981,3259,7677,2143,312
B533_L3_308308,32193,22596,18908,3287,7575,2109,314
B534_L1L3_311311,32063,22383,18819,3269,7528,2139,308
B535_L2_312312,32072,22480,18755,3272,7600,2152,293
B536_L2_314314,32426,22770,19071,3337,7587,2128,303
B537_L2L3_316316,32097,22227,18781,3332,7541,2143,300
B538_L2L3_317317,32285,22692,18916,3302,7654,2097,316
B539_L2L3_318318,32379,22750,18954,3341,7610,2166,308
B540_L4_319319,32191,22523,18868,3253,7574,2190,306
B541_L3_320320,32221,22514,18765,3317,7638,2185,316
B542_L3_321321,32154,22443,18892,3331,7535,2095,301
B543_L2_322322,32228,22571,18902,3351,7533,2127,315
B544_L2_323323,32100,22505,18779,3359,7538,2114,310
B545_L2L3_324324,32366,22647,18999,3278,7647,2148,294
B546_L2_325325,32610,22907,19188,3353,7622,2129,318
B547_L3_326326,32180,22408,18938,3268,7584,2086,304
B548_L2L3_328328,31947,22309,18781,3275,7461,2122,308
B549_L3_329329,32526,22962,19044,3340,7638,2189,315
B54_L3_387387,32254,22477,18851,3343,7599,2138,323
B550_L1L4_330330,32079,22472,18748,3312,7632,2088,299
B551_L2_382382,32024,21802,18882,3260,7430,2131,321
B552_L4_332332,32329,22445,18948,3346,7602,2115,318
B553_L3_333333,32505,22727,19125,3314,7606,2149,311
B554_L3_334334,32159,22452,18895,3267,7584,2104,309
B555_L3_335335,32091,22326,18774,3289,7614,2093,321
B556_L2L3_390390,32250,22605,18823,3321,7669,2125,312
B557_L3_336336,32539,22815,19167,3296,7615,2130,331
B558_L4_337337,32105,22421,18843,3266,7571,2105,320
B559_L4_338338,32210,22614,18910,3278,7614,2095,313
B560_L4_339339,32186,22640,18845,3327,7558,2144,312
B561_L4_340340,32186,22602,18796,3313,7620,2139,318
B562_L3_341341,32210,22646,18972,3251,7585,2109,293
B563_L2L3_342342,32251,22789,18906,3277,7616,2147,305
B564_L3_343343,32208,22438,18882,3338,7531,2132,325
B565_L2L4_344344,32214,22425,18834,3349,7597,2102,332
B566_L4_345345,32140,22668,18739,3334,7617,2147,303
B567_L4_346346,32333,22727,18973,3284,7648,2117,311
B568_L4_347347,32261,22665,19003,3280,7548,2128,302
B569_L4_349349,32248,22469,18910,3273,7609,2144,312
B56_L3_389389,32074,22402,18766,3316,7532,2148,312
B570_L4_350350,32208,22519,18912,3268,7590,2120,318
B571_L3L4_388388,32110,22316,18791,3289,7593,2122,315
B573_L4_352352,32321,22692,19064,3247,7571,2120,319
B574_L2_353353,32175,22584,18831,3336,7567,2150,291
B575_L2_327327,32248,22611,18939,3292,7593,2116,308
B576_L2_356356,31775,21990,18633,3273,7473,2103,293
B577_L2_357357,32526,22701,19109,3360,7589,2137,331
B579_L2L4_358358,32394,22704,18976,3361,7639,2094,324
B57_L2L3_391391,32116,22578,18850,3277,7530,2152,307
B580_L2_359359,32229,22501,18945,3263,7606,2118,297
B581_L2_360360,32204,22464,18965,3220,7558,2148,313
B582_L2_361361,32194,22662,18950,3249,7585,2086,324
B583_L3_363363,32580,22764,19171,3328,7606,2165,310
B584_L3L4_364364,32102,22539,18827,3285,7564,2125,301
B585_L3_365365,32372,22642,19032,3307,7582,2142,309
B586_L3_366366,32122,22356,18884,3278,7545,2110,305
B587_L3L4_331331,32116,22555,18807,3243,7642,2107,317
B588_L3_368368,32370,22785,18984,3329,7603,2154,300
